0.0511,0.0519,0.054,0.054,0.0537,0.0529,0.0522,0.0525,0.0537,0.0564,0.0592,0.0607,0.0616,0.0635,0.067,0.0698,0.0717,0.075,0.0817,0.0941,0.1103,0.1254,0.1335,0.1366,0.1416,0.1519,0.1655,0.1783,0.1867,0.1862,0.1772,0.1689,0.1689,0.1767,0.1871,0.1978
0.0941,0.1222,0.1508,0.1643,0.1692,0.174,0.182,0.1961,0.2179,0.2482,0.286,0.3217,0.3438,0.3395,0.3031,0.2581,0.2432,0.2506,0.2499,0.2623,0.3186,0.4027,0.4706,0.5101,0.5343,0.5545,0.5774,0.6036,0.6348,0.6687,0.7044,0.7432,0.7826,0.8155,0.8364,0.8507
0.0992,0.1496,0.2245,0.2735,0.2912,0.3012,0.3102,0.3147,0.313,0.3059,0.2933,0.2744,0.2532,0.2328,0.2112,0.1934,0.1838,0.1748,0.1612,0.1497,0.1437,0.1419,0.1387,0.133,0.1282,0.1267,0.1305,0.1385,0.1476,0.1521,0.1501,0.1451,0.1377,0.1339,0.1379,0.1496
0.0488,0.0511,0.0524,0.0531,0.0531,0.0536,0.0538,0.0554,0.0587,0.0662,0.0763,0.0829,0.0879,0.0997,0.1279,0.1631,0.1784,0.1733,0.1594,0.1459,0.1342,0.1237,0.1136,0.1063,0.1031,0.1028,0.1036,0.1041,0.1052,0.1071,0.1085,0.11,0.112,0.1139,0.1139,0.1145
0.1157,0.1853,0.3066,0.3988,0.4279,0.4295,0.4245,0.4167,0.4056,0.388,0.363,0.3336,0.3036,0.2732,0.2423,0.2214,0.214,0.2073,0.1937,0.1831,0.1847,0.2006,0.2233,0.2405,0.2422,0.2446,0.263,0.2923,0.3217,0.3396,0.3443,0.3439,0.3461,0.3524,0.3579,0.3641
0.1124,0.1678,0.2492,0.3009,0.3201,0.3318,0.3473,0.3709,0.4086,0.459,0.5102,0.5515,0.5736,0.5763,0.5652,0.5404,0.5087,0.4705,0.4271,0.3843,0.3385,0.2928,0.2522,0.2263,0.2125,0.205,0.2004,0.1968,0.1976,0.2036,0.2129,0.2229,0.2307,0.2324,0.2256,0.2221
0.0448,0.0461,0.0467,0.0483,0.0496,0.0504,0.0512,0.0532,0.0576,0.0658,0.076,0.0824,0.0866,0.0954,0.1176,0.1465,0.1683,0.1959,0.2509,0.3437,0.4472,0.5291,0.576,0.597,0.605,0.6079,0.6116,0.6148,0.6172,0.6177,0.6175,0.6177,0.6178,0.6198,0.6193,0.622
0.1069,0.1622,0.2465,0.3073,0.3399,0.3656,0.3894,0.3995,0.3884,0.3546,0.3035,0.247,0.1984,0.1614,0.1332,0.1134,0.1013,0.0932,0.0868,0.0829,0.0809,0.0804,0.0804,0.0804,0.0809,0.0827,0.0878,0.0957,0.1073,0.1226,0.1437,0.1733,0.2138,0.2618,0.3147,0.3614
0.0929,0.1183,0.1363,0.1381,0.1326,0.1273,0.1232,0.1205,0.1175,0.113,0.108,0.1036,0.0993,0.0944,0.0898,0.0872,0.087,0.0869,0.0867,0.0947,0.1388,0.2456,0.3838,0.4912,0.5488,0.5719,0.5792,0.5798,0.5793,0.5792,0.58,0.5816,0.5836,0.5858,0.5836,0.5831
0.1078,0.1529,0.1923,0.2057,0.195,0.1743,0.1515,0.1311,0.1165,0.1006,0.0845,0.0764,0.0708,0.061,0.0532,0.0509,0.0502,0.0472,0.0446,0.0443,0.0452,0.048,0.0554,0.0755,0.1031,0.1232,0.1399,0.1602,0.1888,0.2278,0.2787,0.3425,0.417,0.4895,0.5527,0.5961
0.0577,0.0611,0.0641,0.0655,0.0656,0.0663,0.0677,0.0717,0.0788,0.092,0.1168,0.1633,0.2424,0.3506,0.4598,0.5303,0.554,0.5456,0.5199,0.4892,0.45,0.406,0.3628,0.3333,0.317,0.3078,0.3019,0.2973,0.2983,0.3065,0.3186,0.3309,0.3399,0.3411,0.3329,0.3278
0.057,0.0595,0.0601,0.0595,0.0595,0.0592,0.0588,0.0602,0.0649,0.075,0.0882,0.097,0.1032,0.1198,0.1741,0.2858,0.3959,0.4509,0.4792,0.5175,0.564,0.6035,0.6241,0.6296,0.6267,0.6217,0.6186,0.6149,0.6136,0.6158,0.621,0.6304,0.6409,0.6496,0.6509,0.653
0.0636,0.1001,0.158,0.208,0.2379,0.2627,0.2885,0.3,0.2866,0.2558,0.211,0.1643,0.1279,0.098,0.0699,0.0512,0.0442,0.0413,0.0383,0.0371,0.0372,0.0375,0.0373,0.0375,0.0381,0.0394,0.0414,0.044,0.0467,0.0474,0.0459,0.0441,0.0442,0.0465,0.0508,0.0584
0.0495,0.0527,0.0537,0.0544,0.0553,0.0565,0.0588,0.0636,0.0717,0.0861,0.1129,0.1599,0.2316,0.3074,0.3473,0.3417,0.3203,0.2901,0.2526,0.2182,0.1865,0.1555,0.1271,0.108,0.0975,0.092,0.0889,0.0866,0.0862,0.0887,0.0931,0.0987,0.1042,0.1065,0.1042,0.1033
0.0457,0.0461,0.045,0.0447,0.0442,0.0441,0.044,0.0446,0.0465,0.05,0.0526,0.0529,0.0519,0.0512,0.0518,0.0525,0.0525,0.0526,0.0554,0.0635,0.0779,0.1131,0.1944,0.3213,0.4557,0.55,0.5964,0.6168,0.6251,0.627,0.6292,0.6333,0.6366,0.6408,0.6423,0.6466
0.0587,0.0618,0.0627,0.0625,0.0624,0.0628,0.0631,0.0647,0.068,0.073,0.0822,0.1072,0.1812,0.3128,0.4534,0.5633,0.6295,0.6633,0.6807,0.6955,0.704,0.7102,0.7135,0.7142,0.7148,0.7203,0.7276,0.7315,0.7361,0.7349,0.7122,0.7025,0.7345,0.7668,0.7762,0.7809
0.1079,0.1737,0.2794,0.3444,0.3575,0.3454,0.3194,0.2917,0.265,0.2379,0.2071,0.1776,0.1562,0.1378,0.1138,0.0921,0.0855,0.0885,0.0886,0.0944,0.1279,0.2039,0.312,0.4193,0.4997,0.5574,0.6176,0.6854,0.7488,0.7925,0.8179,0.8351,0.8486,0.8607,0.8665,0.8737
0.0844,0.1285,0.1933,0.2391,0.2594,0.2788,0.3062,0.3354,0.3686,0.4047,0.4264,0.4271,0.4072,0.3722,0.3265,0.2732,0.2218,0.1749,0.135,0.1071,0.0893,0.0782,0.0701,0.0649,0.0628,0.0617,0.0618,0.0628,0.0649,0.0661,0.0651,0.0632,0.0605,0.0595,0.0617,0.0672
0.1287,0.2075,0.3913,0.6187,0.7639,0.8076,0.8175,0.8253,0.8357,0.844,0.8519,0.8583,0.8618,0.8647,0.8673,0.8668,0.8676,0.8681,0.866,0.8685,0.8684,0.8691,0.8685,0.8669,0.8656,0.8639,0.8665,0.8698,0.873,0.8727,0.8717,0.8733,0.8734,0.8746,0.872,0.8712
