380,24.45
385,27.14
390,29.83
395,39.54
400,49.25
405,52.85
410,56.45
415,58.21
420,59.97
425,58.87
430,57.76
435,66.27
440,74.77
445,80.98
450,87.19
455,88.87
460,90.56
465,90.94
470,91.32
475,93.19
480,95.07
485,93.50
490,91.93
495,93.81
500,95.70
505,96.14
510,96.59
515,96.85
520,97.11
525,99.60
530,102.09
535,101.42
540,100.75
545,101.53
550,102.31
555,101.16
560,100.00
565,98.87
570,97.74
575,98.33
580,98.92
585,96.22
590,93.51
595,95.61
600,97.71
605,98.50
610,99.29
615,99.18
620,99.07
625,97.41
630,95.75
635,97.33
640,98.90
645,97.30
650,95.71
655,96.97
660,98.24
665,100.65
670,103.06
675,101.12
680,99.19
685,93.31
690,87.43
695,89.54
700,91.66
705,92.30
710,92.94
715,84.92
720,76.89
