380,49.92
385,52.26
390,54.60
395,68.65
400,82.69
405,87.06
410,91.42
415,92.39
420,93.37
425,90.00
430,86.63
435,95.72
440,104.81
445,110.88
450,116.96
455,117.36
460,117.76
465,116.29
470,114.82
475,115.35
480,115.89
485,112.33
490,108.78
495,109.06
500,109.33
505,108.56
510,107.78
515,106.28
520,104.78
525,106.23
530,107.68
535,106.04
540,104.40
545,104.22
550,104.04
555,102.02
560,100.00
565,98.17
570,96.34
575,96.06
580,95.79
585,92.24
590,88.69
595,89.35
600,90.02
605,89.81
610,89.61
615,88.66
620,87.71
625,85.51
630,83.30
635,83.51
640,83.72
645,81.88
650,80.05
655,80.14
660,80.24
665,81.27
670,82.30
675,80.31
680,78.31
685,74.03
690,69.74
695,70.69
700,71.63
705,73.00
710,74.37
715,68.00
720,61.62
